species_ID,phenology_fromParkinson_fromfieldExpIfNotInParkinson,phenologyFIN,code_new,id_level_correct,Family,habit,commercial
Garuga pinnata,Dfin,D,garpin,S,Burseraceae,tree,N
Glochidion sp,Dfin,D,glosp,G,Euphorbioaceae,tree,N
Glycosmis sp,Efin,E,glysp,G,Rutaceae,tree,N
Goniothalamus macranthus,Efin,E,gonmac,S,Annonaceae,tree,N
Grewia calophylla,Efin,E,grecal,S,Ulmaceae,tree,N
Grewia laevigata,Efin,E,grelae,S,Ulmaceae,tree,N
Grewia microcos,Etmp,E,gremic,S,Ulmaceae,tree,N
Harissonia brownii,Dfin,D,harbro,S,Simaroubaceae,treelet,N
Heteropanax fragrans,Dfin,D,hetfra,S,Araliaceae,tree,N
Heterophragma adenophyllum,Dfin,D,hetade,S,Bignoniaceae,tree,N
Hopea odorata,Efin,E,hopodo,S,Dipterocarpaceae,tree,Y
Horsfieldia glabra,Efin,E,horgla,S,Myristicaceae,tree,N
Horsfieldia irya,Efin,E,horiry,S,Myristicaceae,tree,N
Hunteria zeylanica,Efin,E,hunzey,S,Apocynaceae,tree,N
Ixora sp,Efin,E,ixosp,G,Rubiaceae,tree,N
Jamurla khatta,Dfin,D,jamukh,S,NA,tree,N
jungli badam medha,Efin,E,jbadam,S,NA,tree,N
Knema andamanica,Efin,E,kneand,S,Myristicaceae,tree,N
Lagerstroemia hypoleuca,Dfin,D,laghyp,S,Lythraceae,tree,Y
Lannea coromandelica,Dfin,D,lancor,S,Anacardiaceae,tree,N
Lauraceae sp4,Efin,E,lausp4,S,Lauraceae,tree,N
Leea sp,Efin,E,leasp,G,Leeaceae,tree,N
Lepisanthes rubiginosa,Efin,E,leprub,S,Sapindaceae,tree,N
Licuala peltata,Efin,E,licpel,S,Arecaceae,monocot,N
Licuala spinosa,Efin,E,licspi,S,Arecaceae,monocot,N
Limonia acidissima,Efin,E,limaci,S,Rutaceae,tree,N
Litsea panamonja,Efin,E,litpan,S,Lauraceae,tree,N
Litsea sp2,Efin,E,litsp2,S,Lauraceae,tree,N
Macaranga andamanica,Etmp,E,macand,S,Euphorbioaceae,tree,N
Macaranga tanarius,Efin,E,mactan,S,Euphorbioaceae,tree,N
Mallotus peltatus,Etmp,E,malpel,S,Euphorbioaceae,treelet,N
Mallotus resinosus,Etmp,E,malres,S,Euphorbioaceae,tree,N
Mangifera sylvatica,Efin,E,mansyl,S,Anacardiaceae,tree,N
Margaritaria indica,Dtmp,D,marind,S,Euphorbioaceae,tree,N
Marsypopetalum crassum,Efin,E,marcra,S,Annonaceae,tree,N
Meliaceae sp,NA,E,melsp,F,Meliaceae,tree,N
Meliaceae sp10,NA,E,melsp10,S,Meliaceae,tree,N
Meliaceae sp9,NA,E,melsp9,S,Meliaceae,tree,N
Melicope glabra,Efin,E,melgla,S,Rubiaceae,tree,N
Memecylon sp,Efin,E,memsp,G,Memecylaceae,tree,N
Miliusa andamanica,Efin,E,miland,S,Annonaceae,tree,N
Miliusa horsfieldii,Dfin,D,milhor,S,Annonaceae,tree,YNC
Mimusops andamanica,Efin,E,mimand,S,Sapotaceae,tree,N
Mitragyna rotundifolia,Dfin,D,mitrot,S,Rubiaceae,tree,N
Murraya paniculata,Efin,E,murpan,S,Rutaceae,tree,Y
Musa sp,Efin,E,mussp,G,Musaceae,tree,N
Mussaenda glabra,Efin,E,musgla,S,Rubiaceae,tree,N
Myristica andamanica,Efin,E,myrand,S,Myristicaceae,tree,N
Neolamarckia cadamba,Efin,E,neocad,S,Rubiaceae,tree,Y
Neonauclea gagaena,Dfin,D,neogag,S,Rubiaceae,tree,Y
Neonauclea sp2,Efin,E,neosp2,S,Rubiaceae,tree,N
Nephilium sp,Etmp,E,nepsp,G,Sapindaceae,tree,N
Ochna wallichii,Dfin,D,ochwal,S,Ochnaceae,tree,N
Orophea hexandra,Efin,E,orohex,S,Annonaceae,tree,N
Orophea polycarpa,Efin,E,oropol,S,Annonaceae,tree,N
Oroxylum indicum,Dfin,D,oroind,S,Bignoniaceae,tree,N
Pajanelia rheedei,Dfin,D,pajrhe,S,Bignoniaceae,tree,Y
Pandanus andamanica,Efin,E,panand,S,Pandanaceae,tree,N
Parishia insignis,Dfin,D,parins,S,Anacardiaceae,tree,Y
Pavetta sp,Etmp,E,pavsp,G,Rubiaceae,treelet,N
Pinanga manii,Efin,E,pinman,S,Arecaceae,tree,N
Pisonia umbellifera,Efin,E,pisumb,S,Nyctaginaceae,tree,N
Planchonia andamanica,Efin,E,plaand,S,Lecythidaceae,tree,Y
Polyalthia glauca,Efin,E,polgla,S,Annonaceae,tree,N
Pometia pinnata,Efin,E,pompin,S,Sapindaceae,tree,N
Prunus ceylanica,Efin,E,prucey,S,Rosaceae,tree,Y
Pseuduvaria prainii,Efin,E,psepra,S,Annonaceae,tree,N
Pterocarpus dalbergioides,Dfin,D,ptedal,S,Fabaceae,tree,Y
Pterocymbium tinctorium,Dfin,D,ptetin,S,Sterculiaceae,tree,Y
Pterospermum aceroides,Efin,E,pteace,S,Sterculiaceae,tree,N
Pterygota alata,Dfin,D,pteala,S,Sterculiaceae,tree,Y
Radermachera pinnata,Dtmp,D,radpin,S,Bignoniaceae,tree,N
Rinorea benghalensis,Efin,E,rinben,S,Violaceae,tree,N
Rothmania sp,Etmp,E,rotsp,G,Rubiaceae,tree,N
Rubiaceae sp,NA,E,rubsp,F,Rubiaceae,tree,N
Sageraea elliptica,Efin,E,sagell,S,Annonaceae,tree,N
Sapindaceae sp,NA,E,sapsp,F,Sapindaceae,tree,YNC
Saprosma ternatum,Efin,E,sapter,S,Rubiaceae,treelet,N
Scolopia sp1,Efin,E,scosp1,S,Flacourtiaceae,tree,N
Semecarpus kurzii,Efin,E,semkur,S,Anacardiaceae,tree,N
Sideroxylon longepetiolatum,Efin,E,sidlon,S,Sapotaceae,tree,N
Spondias pinnata,Dfin,D,spopin,S,Anacardiaceae,tree,N
Sterculia colorata,Dfin,D,stecol,S,Sterculiaceae,tree,N
Sterculia parviflora,Efin,E,stepar,S,Sterculiaceae,tree,N
Sterculia rubigunosa,Efin,E,sterub,S,Sterculiaceae,tree,N
Sterculia sp,NA,E,stesp,G,Sterculiaceae,tree,N
Sterculia villosa,Dfin,D,stevil,S,Sterculiaceae,tree,Y
Streblus asper,Efin,E,strasp,S,Moraceae,tree,N
Streblus taxoides,Efin,E,strtax,S,Moraceae,treelet,N
Stump,NA,NA,stump,NA,NA,NA,NA
Suregada multiflora,Efin,E,surmul,S,Euphorbioaceae,tree,N
Syzygium sp,Efin,E,syzsp,G,Myrtaceae,tree,N
Tabernaemontana alternifolia,Dfin,D,tabalt,S,Apocynaceae,treelet,N
Terminalia bialata,Dfin,D,terbia,S,Combretaceae,tree,Y
Terminalia manii,Dfin,D,terman,S,Combretaceae,tree,Y
Terminalia procera,Dfin,D,terpro,S,Combretaceae,tree,Y
Tetrameles nudiflora,Dfin,D,tetnud,S,Tetramelaceae,tree,Y
Trema tomentosa,Etmp,E,tretom,S,Ulmaceae,tree,N
Trigonostemon viridissimis,Efin,E,trivir,S,Annonaceae,treelet,N
unknown,NA,E,unk,NA,NA,tree,N
Unknown species 1,NA,E,unksp1,S,NA,tree,N
Unknown species 11,NA,E,unksp11,S,NA,tree,N
Unknown species 12,NA,E,unksp12,S,NA,tree,N
Unknown species 13,NA,E,unksp13,S,NA,tree,N
Unknown species 14,NA,E,unksp14,S,NA,tree,N
Unknown species 2,NA,E,unksp2,S,NA,tree,N
Unknown species 3,NA,E,unksp3,S,NA,tree,N
Unknown species 4,NA,E,unksp4,S,NA,tree,N
Unknown species 5,NA,E,unksp5,S,NA,tree,N
Unknown species 6,NA,E,unksp6,S,NA,tree,N
Unknown species 7,NA,E,unksp7,S,NA,tree,N
Unknown species 8,NA,E,unksp8,S,NA,tree,N
Unknown species 9,NA,E,unksp9,S,NA,tree,N
Vitex glabrata,Dfin,D,vitgla,S,Verbenaceae,tree,N
Vitex sp9,Dtmp,D,vitsp9,S,Verbenaceae,tree,N
Walsura pinnata,Efin,E,walpin,S,Meliaceae,tree,N
Walsura robusta,Efin,E,walrob,S,Meliaceae,tree,N
Xanthophyllum andamanicum,Efin,E,xanand,S,Xanthophyllaceae,tree,Y
Zanthoxylum rhetsa,Dfin,D,zanrhe,S,Rutaceae,tree,Y
