"treatment","forest_type","plot_ID","gbh_cm","gbh_cm_stem2","gbh_cm_stem3","height_m","code","species_ID","family","ID_level","sp_sdev","sp_m","ge_sdev","ge_m","basalarea_cm2","dia1","dia2","dia3","den","agb","plotA","plotB","plotC","wd_m","wd_sd","WD_level","agb_Mg","type_plot","gf"
"OL_near","deciduous","MAT1C5P01",14,NA,NA,4,"tabalt","Tabernaemontana alternifolia","Apocynaceae","S",NA,NA,0.100269141041503,0.5247747164,15.5971844230057,4.45633840657307,NA,NA,0.5247747164,2.56521956033547,NA,"Y",NA,0.5247747164,0.100269141041503,"G",0.000256521956033547,"B","T"
"OL_near","deciduous","MAT1C5P01",144,NA,NA,19.5,"diland","Dillenia andamanica","Dilleniaceae","S",NA,NA,0.06635338093766,0.61240512972973,1650.11844997677,45.8366236104659,NA,NA,0.61240512972973,1324.11518519313,"Y","Y",NA,0.61240512972973,0.06635338093766,"G",0.132411518519313,"B","T"
"OL_near","deciduous","MAT1C5P01",40,NA,NA,11,"diokur","Diospyros kurzii","Ebenaceae","S",NA,0.8,0.130127618742892,0.697182559572917,127.323954473516,12.7323954473516,NA,NA,0.8,80.65191872812,"Y","Y",NA,0.8,0.130127618742892,"S",0.008065191872812,"B","T"
"OL_near","deciduous","MAT1C5P01",14,NA,NA,NA,"belsp","Climber species",NA,"G",NA,NA,NA,NA,15.5971844230057,4.45633840657307,NA,NA,NA,0,NA,"Y",NA,0.569020180720243,0.0474944071184135,"P",0,"B","P"
"OL_near","deciduous","MAT1C5P01",10,NA,NA,3,"rinben","Rinorea benghalensis","Violaceae","S",NA,NA,0.085450154449058,0.670555965076923,7.95774715459477,3.18309886183791,NA,NA,0.670555965076923,1.27599639333316,NA,"Y",NA,0.670555965076923,0.085450154449058,"G",0.000127599639333316,"B","T"
"OL_near","deciduous","MAT1C5P01",10.5,NA,NA,3.5,"clenit","Cleidion nitidum","Euphorbioaceae","S",NA,NA,0.170098010962308,0.516666666666667,8.77341623794073,3.3422538049298,NA,NA,0.516666666666667,1.26486398995113,NA,"Y",NA,0.516666666666667,0.170098010962308,"G",0.000126486398995113,"B","T"
"OL_near","deciduous","MAT1C5P01",12,NA,NA,4,"unk","unknown",NA,"G",NA,NA,NA,NA,11.4591559026165,3.81971863420549,NA,NA,NA,0,NA,"Y",NA,0.569020180720243,0.0474944071184135,"P",0,"B","T"
"OL_near","deciduous","MAT1C5P01",19,NA,NA,11,"grelae","Grewia laevigata","Ulmaceae","S",NA,0.42,0.103219953641855,0.556633202647059,28.7274672280871,6.04788783749202,NA,NA,0.42,10.0553249503749,NA,"Y",NA,0.42,0.103219953641855,"S",0.00100553249503749,"B","T"
"OL_near","deciduous","MAT1C5P01",12.5,NA,NA,4,"gonmac","Goniothalamus macranthus","Annonaceae","S",NA,NA,0.084852813742386,0.44,12.4339799290543,3.97887357729738,NA,NA,0.44,1.73127964074188,NA,"Y",NA,0.44,0.084852813742386,"G",0.000173127964074188,"B","T"
"OL_near","deciduous","MAT1C5P01",22,NA,NA,4.5,"diopyr","Diospyros pyrrhocarpa","Ebenaceae","S",NA,0.64,0.130127618742892,0.697182559572917,38.5154962282387,7.0028174960434,NA,NA,0.64,8.44023723423279,NA,"Y",NA,0.64,0.130127618742892,"S",0.000844023723423279,"B","T"
